ID,Order_Confirmation_Point,Shop_List_Point,Location_Changed,Distance_Changed_KM
1552427484_10659358423674248935,POINT(-71.203295 46.814345),POINT(-71.203295 46.814345),true,0.0
1552514505_1294765942751439532,POINT(-79.3967212 43.6370607),POINT(-79.3967212 43.6370607),true,0.0
1552090198_17219236229765224824,POINT(-79.4023802 43.672735),POINT(-79.4023802 43.672735),true,0.0
1551897685_9312256708358036872,POINT(-73.734868 45.568139),POINT(-73.5633898 45.5206722),false,14.359286548658854
1551897685_9312256708358036872,POINT(-73.734868 45.5206722),POINT(-73.5633898 45.5206722),false,13.359702254229983
1551897685_9312256708358036872,POINT(-73.5633898 45.568139),POINT(-73.5633898 45.5206722),false,5.2780756285710391
1551897685_9312256708358036872,POINT(-73.5633898 45.5206722),POINT(-73.5633898 45.5206722),true,1.0609862988175677e-12
1551897685_9312256708358036872,POINT(-73.734868 45.568139),POINT(-73.734868 45.5206722),false,5.2780756285716484
1551897685_9312256708358036872,POINT(-73.734868 45.5206722),POINT(-73.734868 45.5206722),true,0.0
1551897685_9312256708358036872,POINT(-73.5633898 45.568139),POINT(-73.734868 45.5206722),false,14.359286548659762
1551897685_9312256708358036872,POINT(-73.5633898 45.5206722),POINT(-73.734868 45.5206722),false,13.359702254231003
1551897685_9312256708358036872,POINT(-73.734868 45.568139),POINT(-73.5633898 45.5206722),false,14.359286548659881
1551897685_9312256708358036872,POINT(-73.734868 45.5206722),POINT(-73.5633898 45.5206722),false,13.359702254231003
1551897685_9312256708358036872,POINT(-73.5633898 45.568139),POINT(-73.5633898 45.5206722),false,5.278075628571254
1551897685_9312256708358036872,POINT(-73.5633898 45.5206722),POINT(-73.5633898 45.5206722),true,0.0
1551897685_9312256708358036872,POINT(-73.734868 45.568139),POINT(-73.5633898 45.568139),false,13.348426787734629
1551897685_9312256708358036872,POINT(-73.734868 45.5206722),POINT(-73.5633898 45.568139),false,14.359286548658895
1551897685_9312256708358036872,POINT(-73.5633898 45.568139),POINT(-73.5633898 45.568139),true,1.0609862988175677e-12
1551897685_9312256708358036872,POINT(-73.5633898 45.5206722),POINT(-73.5633898 45.568139),false,5.2780756285714689
1551897685_9312256708358036872,POINT(-73.734868 45.568139),POINT(-73.734868 45.568139),true,0.0
1551897685_9312256708358036872,POINT(-73.734868 45.5206722),POINT(-73.734868 45.568139),false,5.2780756285716484
1551897685_9312256708358036872,POINT(-73.5633898 45.568139),POINT(-73.734868 45.568139),false,13.348426787735647
1551897685_9312256708358036872,POINT(-73.5633898 45.5206722),POINT(-73.734868 45.568139),false,14.359286548659881
1551897685_9312256708358036872,POINT(-73.734868 45.568139),POINT(-73.5633898 45.568139),false,13.348426787735647
1551897685_9312256708358036872,POINT(-73.734868 45.5206722),POINT(-73.5633898 45.568139),false,14.359286548659762
1551897685_9312256708358036872,POINT(-73.5633898 45.568139),POINT(-73.5633898 45.568139),true,0.0
1551897685_9312256708358036872,POINT(-73.5633898 45.5206722),POINT(-73.5633898 45.568139),false,5.278075628571254
1552074440_1750174942804622518,POINT(-79.3817396 43.6419664),POINT(-79.3817396 43.6419664),true,0.0
1551557519_124679871566759339,POINT(-73.5746763 45.4984435),POINT(-73.5746763 45.4984435),true,0.0
1551557519_124679871566759339,POINT(-73.5746763 45.4942634),POINT(-73.5746763 45.4984435),false,0.46480664243114084
1551557519_124679871566759339,POINT(-73.608887 45.4984435),POINT(-73.5746763 45.4984435),false,2.6663761586220858
1551557519_124679871566759339,POINT(-73.608887 45.4942634),POINT(-73.5746763 45.4984435),false,2.7066833605706138
1551557519_124679871566759339,POINT(-73.5746763 45.4984435),POINT(-73.5857238 45.4984435),false,0.86104028306260383
1551557519_124679871566759339,POINT(-73.5746763 45.4942634),POINT(-73.5857238 45.4984435),false,0.97851449719553762
1551557519_124679871566759339,POINT(-73.608887 45.4984435),POINT(-73.5857238 45.4984435),false,1.8053358887757751
1551557519_124679871566759339,POINT(-73.608887 45.4942634),POINT(-73.5857238 45.4984435),false,1.8642759550429129
1551557519_124679871566759339,POINT(-73.5746763 45.4984435),POINT(-73.608887 45.4984435),false,2.6663761586220858
1551557519_124679871566759339,POINT(-73.5746763 45.4942634),POINT(-73.608887 45.4984435),false,2.7066833605708487
1551557519_124679871566759339,POINT(-73.608887 45.4984435),POINT(-73.608887 45.4984435),true,0.0
1551557519_124679871566759339,POINT(-73.608887 45.4942634),POINT(-73.608887 45.4984435),false,0.4648066424309274
1551557519_124679871566759339,POINT(-73.5746763 45.4984435),POINT(-73.5746763 45.5403797),false,4.6631000020001476
1551557519_124679871566759339,POINT(-73.5746763 45.4942634),POINT(-73.5746763 45.5403797),false,5.1279066444312873
1551557519_124679871566759339,POINT(-73.608887 45.4984435),POINT(-73.5746763 45.5403797),false,5.3711048378046753
1551557519_124679871566759339,POINT(-73.608887 45.4942634),POINT(-73.5746763 45.5403797),false,5.7792923111399386
1551557519_124679871566759339,POINT(-73.5746763 45.4984435),POINT(-73.5857238 45.5403797),false,4.7418709070196954
1551557519_124679871566759339,POINT(-73.5746763 45.4942634),POINT(-73.5857238 45.5403797),false,5.1996461065819677
1551557519_124679871566759339,POINT(-73.608887 45.4984435),POINT(-73.5857238 45.5403797),false,5.0001311313144754
1551557519_124679871566759339,POINT(-73.608887 45.4942634),POINT(-73.5857238 45.5403797),false,5.4362190982171628
1551557519_124679871566759339,POINT(-73.5746763 45.4984435),POINT(-73.608887 45.5403797),false,5.3711048378046859
1551557519_124679871566759339,POINT(-73.5746763 45.4942634),POINT(-73.608887 45.5403797),false,5.7792923111402459
