distinct_fullvisitorid,distinct_visitid,occurrences
1074095447042837358,1551910976,1
10747064608500590872,1552603556,1
10751757420281655189,1551911729,1
10753092277199181699,1551566227,1
10756881628240496783,1551651161,1
10764487487041776160,1552602139,1
10769232279633719770,1552171329,1
10774335399113965619,1552514900,1
10780483303040402259,1552517966,1
10781512274558897331,1552604168,1
10781613943269191751,1552430221,1
10785614479566877215,1551653421,1
10789765703419500371,1552602578,1
10790361799208588093,1552085961,1
10790535771414254868,1551739789,2
10790535771414254868,1551999492,2
10792666636852556231,1551652663,1
1079628440733838774,1552171254,1
10810275003069676543,1552256370,1
10810839671038440908,1552601752,1
1081692718360685613,1552172084,1
10819335707917018239,1552084336,1
10823453024211424863,1552604334,1
10833978168393399773,1552078786,1
10836656278406924792,1552517294,1
10838036828086940971,1551996696,1
1085785148797361424,1552172393,1
10859011882836482394,1552085937,1
10861596377559246717,1551999522,1
10861880990192048094,1551479981,1
10863462199211752554,1551566427,1
10865196598292747405,1551566810,1
10868487486806260151,1551913013,1
10869219912652996579,1551649565,1
10871326033511413044,1551652722,1
10880201524826178338,1551566563,2
10880201524826178338,1551999390,2
10881486095071569390,1552515703,1
1088179099804595154,1551561964,2
1088179099804595154,1552515122,2
10882164580881599127,1551739880,1
1088220349626170440,1552257368,1
10885384592822366860,1552427290,1
10888798665633924291,1551912768,1
10889437854971894876,1552256308,1
10890818547556760389,1552342613,1
10895032934212468012,1552084473,1
10899138296382700133,1551825245,1
10900532003503646682,1551739612,2
10900532003503646682,1551826588,2
10904590246022274725,1551653633,1
1090575014787281044,1551825635,1
10906952253755739147,1552258638,1
1091036500848718012,1551825296,1
10914684366483700145,1552258415,1
10918527857747564572,1552515889,1
10919836385727076199,1551997203,1
10921673860102763708,1551823969,1
10928629490496237117,1552256525,1
10929162081027210130,1551652259,2
10929162081027210130,1551481094,2
1093190987692386130,1551913114,1
10933014914562247366,1551912205,1
10934069979907345782,1552258468,1
10936301491704050144,1552172375,1
10939768932994316913,1552172329,1
10940882515669619542,1552430002,1
1094190213229813886,1552428994,1
1094325911778219130,1551481091,1
10945900825773894529,1552603294,1
10946495574476782095,1551997134,1
10948552932974102933,1551566716,1
10949735048320258672,1552258620,1
10954484938224011387,1551999552,1
10957123715234810905,1552602846,1
10959070719169717763,1552171194,1
10963746226742396714,1552172393,1
10968603581021727759,1552171967,1
10972930169017539544,1552344372,1
10973893407636472805,1552085516,1
10974570967772770740,1551825446,1
10975333923655563379,1551566144,1
10979281233283655059,1551653576,1
109815976718217365,1551566743,1
10984914190344887586,1552517254,1
10993147827282557259,1551653722,1
10993269099973642777,1551738742,1
10997746415057365781,1551998239,1
10999868369316273417,1552430900,2
10999868369316273417,1551567295,2
11002084155719606584,1551740378,1
11004004623161448671,1551652439,1
11004650817701308189,1552603489,1
11024587606860497024,1552344688,1
11028871971652284911,1551653640,1
11030178611787083026,1551999180,1
11035238971736738210,1552257707,1
11035427987720353206,1551566355,1
11035806892991818822,1552170769,1
11037775507849278562,1551481060,1
11043314907679702227,1552085572,2
11043314907679702227,1551477510,2
11046604349684631619,1552603332,1
11049708866018039884,1552085303,1
11053974932677612726,1552170596,1
11059684888763649322,1552258302,1
11062520625894667941,1551567595,1
11069699502931607296,1552085245,1
11070644963635573079,1552514527,1
11073942517988726,1551480942,1
11074600095719038931,1552171528,1
1107572712515513547,1551824200,1
1107655296879062968,1551999565,1
11077824680825463207,1552430283,1
1107886116371357339,1552517898,1
11079625369272799274,1552257737,2
11079625369272799274,1552171573,2
1108286713760748090,1551995083,1
11083402574277996423,1551824982,1
11085169426756685470,1551911972,1
1108757643134448860,1551480981,1
11088318884251860651,1551566973,2
11088318884251860651,1551739269,2
11094414233871557646,1551652293,1
11100368450953199753,1552169366,1
11105849103688334053,1551565984,1
11111274904894799491,1552172297,1
1112128496859432791,1551910225,1
11124243609602082999,1552345129,1
11125680499388567293,1551653180,1
11130045303644544669,1552342766,1
11143284931942991467,1552602839,1
11149599023651491521,1551653471,1
11152750935081919183,1551650731,1
11156929659750220910,1552514765,1
11161339032341189191,1551826276,1
11164860992097715881,1552600689,1
11166783285948185809,1551912811,1
