sessionID,visitStartTime_ts,app_complete_ts,ts_diff_minutes
1551480225_10303856905658090738,2019-03-01 23:00:04 UTC,2019-03-01 23:01:06.952 UTC,1
1551480225_10303856905658090738,2019-03-01 22:43:45 UTC,2019-03-01 23:01:06.952 UTC,17
1551480225_10303856905658090738,2019-03-01 23:00:04 UTC,2019-03-01 23:01:31.976 UTC,1
1551480225_10303856905658090738,2019-03-01 22:43:45 UTC,2019-03-01 23:01:31.976 UTC,17
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:13:19.930 UTC,3
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:13:21.922 UTC,3
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:13:24.251 UTC,3
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:13:27.114 UTC,3
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:14:32.350 UTC,4
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:15:30.022 UTC,5
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:08.649 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:11.218 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:18.650 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:22.168 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:26.110 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:28.412 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:30.615 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:35.291 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:37.444 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:41.588 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:43.813 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:45.486 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:48.117 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:50.652 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:55.476 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:18:18.606 UTC,8
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:19:00.327 UTC,9
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:19:26.664 UTC,9
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:19:33.621 UTC,9
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:19:35.344 UTC,9
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:19:37.081 UTC,9
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:19:39.311 UTC,9
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:19:41.091 UTC,9
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:19:43.341 UTC,9
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:19:45.261 UTC,9
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:19:46.999 UTC,9
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:19:49.053 UTC,9
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:19:52.595 UTC,9
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:19:54.088 UTC,9
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:19:56.883 UTC,9
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:20:37.790 UTC,10
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:22:55.792 UTC,12
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:22:57.424 UTC,12
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:23:13.138 UTC,13
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:23:18.487 UTC,13
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:23:22.507 UTC,13
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:23:34.008 UTC,13
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:23:36.310 UTC,13
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:25:14.116 UTC,15
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:25:21.164 UTC,15
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:25:44.470 UTC,15
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:25:51.788 UTC,15
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:28:03.156 UTC,18
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:28:06.649 UTC,18
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:28:09.146 UTC,18
